DICTIONARY:
llama               гуанако; лама; 
muchly              очень; сильно; чрезвычайно; 
nab                 арестовать; курок; стащить; украсть; 
oar                 весло; гребец; грести; лопатка; 
python              питон; прорицатель; 
qua                 в качестве; 
rob                 грабитель; грабить; обкрадывать; разбойничать; 
sacrificial         жертвенный; 
twink               миг; моргание; 
ubiquity            вездесущность; повсеместность; 
vacationer          отпускник; 
wack                ненормальный; псих; 
Xmas                рождественский; рождество; 
yawner              яма; 
zwitterion          амфион; амфотерный ион; ион;
